,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS,County
1,OC19193789,A,SFR/D,8722,Princess CIR  ,HB,14,STD,"$950,000 ",$481.74 ,"4/2,0,0,0",1972/A,1965/ASR,"5,865/0.1346",53/53,N,N,3,8/13/19,CRMLSM,Orange
1,OC19210470,A,SFR/D,9172,Pioneer DR  ,HB,14,STD,"$959,000 ",$512.56 ,"4/2,0,0,0",1871/E,1963/PUB,"6,100/0.14",30/30,Y,N,2,9/5/19,CRMLSM,Orange
1,PW19202631,A,SFR/D,20541,Suburbia LN  ,HB,14,STD,"$964,888 ",$465.90 ,"3/2,0,1,0",2071/A,1968/ASR,"5,616/0.1289",43/156,Y,Y,2.5*,8/23/19,CRMLSM,Orange
1,NP19170492,A,SFR/D,9572,Flounder DR  ,HB,14,STD,"$976,000 ",$414.97 ,"4/3,0,0,0",2352/A,1964/APP,"6,000/0.1377",66/66,N,N,2.5,7/17/19,CRMLSM,Orange
1,PW19198162,A,SFR/D,8962,Henton DR  ,HB,14,STD,"$985,000 ",$580.09 ,"4/1,1,1,0",1698/A,1973/ASR,"7,280/0.1671",31/31,N,Y,2.5,9/4/19,CRMLSM,Orange
1,OC19204628,A,SFR/D,10071,Sprit CIR  ,HB,14,TRUS,"$999,000 ",$480.29 ,"4/2,0,1,0",2080/A,1966/PUB,"5,395/0.1239",39/39,Y,N,2.5,8/27/19,CRMLSM,Orange
1,NP19221221,A,SFR/D,9812,Olympic DR  ,HB,14,STD,"$999,500 ",$515.47 ,"4/2,0,1,0",1939/A,1971/ASR,"6,300/0.1446",17/17,N,N,2.5,9/18/19,CRMLSM,Orange
1,OC19222252,A,SFR/D,10052,Signet CIR  ,HB,14,STD,"$1,049,000 ",$557.68 ,"4/3,0,0,0",1881/A,1966/ASR,"5,008/0.115",16/16,Y,Y,2.5,9/19/19,CRMLSM,Orange
1,OC19222230,A,SFR/D,20691,Suburbia LN  ,HB,14,STD,"$1,049,000 ",$491.10 ,"4/2,0,1,0",2136/A,1968/EST,"6,468/0.1485",17/17,Y,Y,2.5,9/18/19,CRMLSM,Orange
1,NP19207724,A,SFR/D,21692,Saluda CIR  ,HB,14,STD,"$1,050,000 ",$634.44 ,"4/2,0,0,0",1655/A,1968/ASR,"6,000/0.1377",36/36,N,N,2.5,8/30/19,CRMLSM,Orange
1,OC19229600,A,SFR/D,8212,Kingfisher DR  ,HB,14,STD,"$1,068,000 ",$456.41 ,"3/1,2,0,0",2340/P,1962/ASR,"6,120/0.1405",8-Aug,Y,Y,2.5,9/27/19,CRMLSM,Orange
1,OC19222040,A,SFR/D,9071,Aloha DR  ,HB,14,STD,"$1,100,000 ",$548.90 ,"3/2,0,1,0",2004/A,1965/ASR,"6,174/0.1417",26/26,N,Y,2.5,9/9/19,CRMLSM,Orange
1,PW19220105,A,SFR/D,9452,Castlegate DR  ,HB,14,STD,"$1,149,000 ",$452.18 ,"4/4,0,0,0",2541/A,2001/ASR,"6,014/0.1381",21/21,N,Y,2.5,9/14/19,CRMLSM,Orange
1,OC19215132,A,SFR/D,20172,Astor LN  ,HB,14,STD,"$1,169,000 ",$584.50 ,"5/3,0,0,0",2000/E,1973/ASR,"6,060/0.1391",23/23,N,Y,2.5,9/12/19,CRMLSM,Orange
1,OC19233833,A,SFR/A,19622,Ashworth CIR  ,HB,14,STD,"$1,199,000 ",$513.05 ,"5/3,0,0,0",2337/A,1997/ASR,"5,000/0.1148",4-Apr,N,N,2,10/1/19,CRMLSM,Orange
1,OC19211315,A,SFR/D,8712,Larthorn DR  ,HB,14,STD,"$1,219,000 ",$644.63 ,"5/1,2,0,0",1891/P,1973/ASR,"6,370/0.1462",31/31,Y,N,2,9/4/19,CRMLSM,Orange
1,PW19227618,A,SFR/D,9442,Hazelbrook DR  ,HB,14,STD,"$1,223,000 ",$604.85 ,"4/2,1,0,0",2022/A,1967/ASR,"6,000/0.1377",9-Sep,Y,Y,2.5,9/26/19,CRMLSM,Orange
1,CV19213336,A,SFR/D,19741,Wardlow LN  ,HB,14,STD,"$1,540,000 ",$448.33 ,"4/4,0,0,0",3435/A,2015/ASR,"4,259/0.0978",29/29,N,N,2.5,9/6/19,CRMLSM,Orange
1,OC19151205,A,SFR/D,9571,Castine DR  ,HB,14,STD,"$1,690,000 ",$672.77 ,"4/3,0,0,0",2512/A,1973/ASR,"8,500/0.1951",87/87,Y,Y,2.5,7/10/19,CRMLSM,Orange
1,OC19180635,A,SFR/D,8462,Crane CIR  ,HB,14,STD,"$1,850,000 ",$581.58 ,"4/3,1,0,0",3181/A,2014/SLR,"11,440/0.2626",69/69,N,N,2.5,7/28/19,CRMLSM,Orange
1,OC19224751,A,SFR/D,1319,Alabama ST  ,HB,15,NOD,"$790,000 ",$639.16 ,"3/2,0,0,0",1236/A,1983/ASR,"3,750/0.0861",17/17,N,N,2,9/18/19,CRMLSM,Orange
1,PW19203481,A,SFR/A,19251,Capitol CIR  ,HB,15,STD,"$810,500 ",$712.84 ,"3/1,0,1,0",1137/A,1960/ASR,"9,000/0.2066",41/41,N,N,3.5,8/25/19,CRMLSM,Orange
1,PW19203468,A,SFR/A,19272,Congress CIR  ,HB,15,STD,"$845,500 ",$743.62 ,"3/2,0,0,0",1137/A,1960/PUB,"6,500/0.1492",41/41,Y,N,3.5,8/25/19,CRMLSM,Orange
1,OC19154879,A,SFR/D,7131,Nimrod DR  ,HB,15,STD,"$861,500 ",$451.99 ,"4/1,1,0,0",1906/A,1975/ASR,"6,000/0.1377",80/80,N,N,2.5,7/17/19,CRMLSM,Orange
1,PW19227203,A,SFR/D,15422,Cottonwood CIR  ,HB,15,STD,"$875,000 ",$324.31 ,"3/3,0,0,0",2698/A,1979/ASR,"5,850/0.1343",11-Nov,Y,N,2,9/24/19,CRMLSM,Orange
1,PW19225130,A,SFR/D,6802,Crista Palma DR  ,HB,15,STD,"$890,000 ",$465.72 ,"4/2,0,0,0",1911/A,1970/PUB,"5,432/0.1247",9-Sep,N,N,2.5,9/26/19,CRMLSM,Orange
1,PW19177197,A,SFR/D,7766,Liberty DR  ,HB,15,STD,"$895,555 ",$542.10 ,"3/3,0,1,0",1652/E,2019/BLD,"87,120,000/2000",68/68,N,N,2,7/29/19,CRMLSM,Orange
1,PW19177220,A,SFR/D,7776,Liberty DR  ,HB,15,STD,"$895,999 ",$542.37 ,"3/3,0,1,0",1652/E,2019/BLD,"87,120,000/2000",68/68,N,N,2,7/29/19,CRMLSM,Orange
1,PW19168451,A,SFR/D,7762,Liberty DR  ,HB,15,STD,"$895,999 ",$542.37 ,"3/2,0,1,0",1652/E,2019/BLD,"87,120,000/2000",68/68,N,N,2,7/25/19,CRMLSM,Orange
1,OC19176551,A,SFR/D,7111,Heil AVE  ,HB,15,STD,"$939,000 ",$336.32 ,"4/2,0,1,0",2792/A,1968/ASR,"6,000/0.1377",35/35,N,N,2,7/22/19,CRMLSM,Orange
1,PW19168370,A,SFR/D,6051,Point Loma DR  ,HB,15,STD,"$955,000 ",$419.60 ,"5/2,0,1,0",2276/A,1966/ASR,"6,060/0.1391",81/81,N,Y,2.5,7/16/19,CRMLSM,Orange
